taxon_name,longitude,latitude,source
bradypus_torquatus,-39.4,-15.833,Moreira et al. 2014
bradypus_torquatus,-39.1166,-14.8,Moreira et al. 2014
bradypus_torquatus,-39.12528,-14.65778,Moreira et al. 2014
bradypus_torquatus,-39.28333,-14.83333,Moreira et al. 2014
bradypus_torquatus,-38.05,-12.5,Moreira et al. 2014
bradypus_torquatus,-39.04,-13.65,Moreira et al. 2014
bradypus_torquatus,-39.25,-13,Moreira et al. 2014
bradypus_torquatus,-39.10497,-15.17714,Moreira et al. 2014
bradypus_torquatus,-39.0518,-15.16311,Moreira et al. 2014
bradypus_torquatus,-39.41667,-12.95,Moreira et al. 2014
bradypus_torquatus,-39.75,-13.53333,Moreira et al. 2014
bradypus_torquatus,-41.51221,-20.71916,Moreira et al. 2014
bradypus_torquatus,-40.7,-20.56667,Moreira et al. 2014
bradypus_torquatus,-40.2,-19.79,Moreira et al. 2014
bradypus_torquatus,-40.13333,-19.93333,Moreira et al. 2014
bradypus_torquatus,-40.11667,-19.91667,Moreira et al. 2014
bradypus_torquatus,-40.11667,-19.8,Moreira et al. 2014
bradypus_torquatus,-40.15,-19.61667,Moreira et al. 2014
bradypus_torquatus,-40.16108,-19.87743,Moreira et al. 2014
bradypus_torquatus,-41.00974,-20.41615,Moreira et al. 2014
bradypus_torquatus,-40.41806,-19.83473,Moreira et al. 2014
bradypus_torquatus,-40.87,-19.87,Moreira et al. 2014
bradypus_torquatus,-40.11878,-19.46809,Moreira et al. 2014
bradypus_torquatus,-39.85978,-19.62792,Moreira et al. 2014
bradypus_torquatus,-40.68333,-20.03333,Moreira et al. 2014
bradypus_torquatus,-40.74414,-20.06209,Moreira et al. 2014
bradypus_torquatus,-40.70224,-20.04194,Moreira et al. 2014
bradypus_torquatus,-40.69428,-19.90531,Moreira et al. 2014
bradypus_torquatus,-40.53047,-19.97323,Moreira et al. 2014
bradypus_torquatus,-40.54556,-19.88866,Moreira et al. 2014
bradypus_torquatus,-40.62348,-19.92452,Moreira et al. 2014
bradypus_torquatus,-40.59414,-19.93773,Moreira et al. 2014
bradypus_torquatus,-41.00227,-20.46464,Moreira et al. 2014
bradypus_torquatus,-41.83154,-21.8822,Moreira et al. 2014
bradypus_torquatus,-42.03805,-22.42465,Moreira et al. 2014
bradypus_torquatus,-42.33333,-22.31667,Moreira et al. 2014
bradypus_torquatus,-43.15712,-22.39786,Moreira et al. 2014
bradypus_torquatus,-41.03558,-21.73639,Moreira et al. 2014
bradypus_torquatus,-42.12375,-22.78576,Moreira et al. 2014
bradypus_torquatus,-42.2766,-22.54937,Moreira et al. 2014
bradypus_torquatus,-37.55,-11.3,Moreira et al. 2014
bradypus_torquatus,-37.23333,-11.2,Moreira et al. 2014
bradypus_torquatus,-39.26666667,-14.8,Anderson and Handley 2001