name,longitude,latitude,source
bradypus_variegatus,-46.7333,-23.45,Anderson and Handley 2001
bradypus_variegatus,-44.71667,-23.21667,de Moraes-Barros 2011
bradypus_variegatus,-46.61667,-20.71667,de Moraes-Barros 2011
bradypus_variegatus,-40.0667,-19.3333,Anderson and Handley 2001
bradypus_variegatus,-63.1667,-17.8,Anderson and Handley 2001
bradypus_variegatus,-63.6667,-17.45,Anderson and Handley 2001
bradypus_variegatus,-63.85,-17.4,Anderson and Handley 2001
bradypus_variegatus,-65.1333,-16.8,Anderson and Handley 2001
bradypus_variegatus,-64.4167,-16,Anderson and Handley 2001
bradypus_variegatus,-65.4,-10.3833,Anderson and Handley 2001
bradypus_variegatus,-65.3833,-10.3833,Anderson and Handley 2001
bradypus_variegatus,-36.36667,-10.1667,de Moraes-Barros 2011
bradypus_variegatus,-49.5,-10,de Moraes-Barros 2011
bradypus_variegatus,-36.08333,-9.7667,de Moraes-Barros 2011
bradypus_variegatus,-74.5333,-8.3833,Anderson and Handley 2001
bradypus_variegatus,-75.1,-6.7333,Anderson and Handley 2001
bradypus_variegatus,-76.05,-5.8333,Anderson and Handley 2001
bradypus_variegatus,-74.2167,-4.8333,Anderson and Handley 2001
bradypus_variegatus,-74.2167,-4.7,Anderson and Handley 2001
bradypus_variegatus,-77.1167,-4.65,Anderson and Handley 2001
bradypus_variegatus,-69.95,-4.15,Anderson and Handley 2001
bradypus_variegatus,-77.1333,-4.03333,de Moraes-Barros 2011
bradypus_variegatus,-62.0833,-3.8333,Anderson and Handley 2001
bradypus_variegatus,-52.6667,-3.8333,Anderson and Handley 2001
bradypus_variegatus,-73.25,-3.7667,Anderson and Handley 2001
bradypus_variegatus,-79.65,-3.7167,Anderson and Handley 2001
bradypus_variegatus,-59.1333,-3.7,Anderson and Handley 2001
bradypus_variegatus,-55.5,-3.6667,Anderson and Handley 2001
bradypus_variegatus,-73.05,-3.4667,Anderson and Handley 2001
bradypus_variegatus,-55.2833,-3.45,Anderson and Handley 2001
bradypus_variegatus,-72.1333,-3.4333,Anderson and Handley 2001
bradypus_variegatus,-72.1,-3.3167,Anderson and Handley 2001
bradypus_variegatus,-58.25,-3.3,de Moraes-Barros 2011
bradypus_variegatus,-60.0833,-3.1333,Anderson and Handley 2001
bradypus_variegatus,-60.0167,-3.1333,Anderson and Handley 2001
bradypus_variegatus,-55.1,-3.0833,Anderson and Handley 2001
bradypus_variegatus,-58,-3,de Moraes-Barros 2011
bradypus_variegatus,-55.1333,-2.8333,Anderson and Handley 2001
bradypus_variegatus,-54.9833,-2.75,Anderson and Handley 2001
bradypus_variegatus,-49.6833,-2.6833,Anderson and Handley 2001
bradypus_variegatus,-54.95,-2.63333,de Moraes-Barros 2011
bradypus_variegatus,-56.7333,-2.6,Anderson and Handley 2001
bradypus_variegatus,-50.71667,-2.6,de Moraes-Barros 2011
bradypus_variegatus,-49.5,-2.5833,Anderson and Handley 2001
bradypus_variegatus,-55,-2.4333,Anderson and Handley 2001
bradypus_variegatus,-45.15,-2.4333,de Moraes-Barros 2011
bradypus_variegatus,-54.7,-2.4333,Anderson and Handley 2001
bradypus_variegatus,-60.96667,-2.36667,de Moraes-Barros 2011
bradypus_variegatus,-74.0833,-2.3667,Anderson and Handley 2001
bradypus_variegatus,-49.5,-2.25,Anderson and Handley 2001
bradypus_variegatus,-55.55,-1.9167,Anderson and Handley 2001
bradypus_variegatus,-55.51667,-1.9167,de Moraes-Barros 2011
bradypus_variegatus,-65.3667,-1.8,de Moraes-Barros 2011
bradypus_variegatus,-52.2,-1.7,Anderson and Handley 2001
bradypus_variegatus,-79.75,-1.5333,Anderson and Handley 2001
bradypus_variegatus,-77.95,-1.4833,Anderson and Handley 2001
bradypus_variegatus,-48.48333,-1.45,de Moraes-Barros 2011
bradypus_variegatus,-49.5,-1,Anderson and Handley 2001
bradypus_variegatus,-77.1333,-0.7,Anderson and Handley 2001
bradypus_variegatus,-64.8333,-0.5167,Anderson and Handley 2001
bradypus_variegatus,-79.6,-0.4667,Anderson and Handley 2001
bradypus_variegatus,-79.15,-0.25,Anderson and Handley 2001
bradypus_variegatus,-74.7667,-0.2,Anderson and Handley 2001
bradypus_variegatus,-79.4667,0.3333,Anderson and Handley 2001
bradypus_variegatus,-75.3333,0.4667,Anderson and Handley 2001
bradypus_variegatus,-78.15,1.6833,Anderson and Handley 2001
bradypus_variegatus,-75.3333,2.1333,de Moraes-Barros 2011
bradypus_variegatus,-77.68333,2.86667,de Moraes-Barros 2011
bradypus_variegatus,-65.08333,3.0833,de Moraes-Barros 2011
bradypus_variegatus,-65.9167,3.0833,Anderson and Handley 2001
bradypus_variegatus,-65.55,3.1667,Anderson and Handley 2001
bradypus_variegatus,-77.0833,3.6833,Anderson and Handley 2001
bradypus_variegatus,-67.9333,3.8667,Anderson and Handley 2001
bradypus_variegatus,-76.9333,4,Anderson and Handley 2001
bradypus_variegatus,-73.6167,4.15,Anderson and Handley 2001
bradypus_variegatus,-74.3,4.5833,Anderson and Handley 2001
bradypus_variegatus,-76.95,5.05,Anderson and Handley 2001
bradypus_variegatus,-76.6833,5.1,Anderson and Handley 2001
bradypus_variegatus,-66.2167,5.3,Anderson and Handley 2001
bradypus_variegatus,-76.6667,5.7,Anderson and Handley 2001
bradypus_variegatus,-75.5833,6.25,Anderson and Handley 2001
bradypus_variegatus,-76.2667,7.0167,Anderson and Handley 2001
bradypus_variegatus,-77.7667,7.1167,Anderson and Handley 2001
bradypus_variegatus,-73.9167,7.1667,Anderson and Handley 2001
bradypus_variegatus,-75.05,7.35,Anderson and Handley 2001
bradypus_variegatus,-77.1667,7.6667,Anderson and Handley 2001
bradypus_variegatus,-76.2833,7.85,Anderson and Handley 2001
bradypus_variegatus,-72.5167,7.9,Anderson and Handley 2001
bradypus_variegatus,-78.3667,7.9667,Anderson and Handley 2001
bradypus_variegatus,-77.4333,7.9833,Anderson and Handley 2001
bradypus_variegatus,-77.6,8,Anderson and Handley 2001
bradypus_variegatus,-78.61667,8.0167,de Moraes-Barros 2011
bradypus_variegatus,-77.1167,8.0167,Anderson and Handley 2001
bradypus_variegatus,-76.7167,8.1,Anderson and Handley 2001
bradypus_variegatus,-77.75,8.1,Anderson and Handley 2001
bradypus_variegatus,-77.7333,8.1333,Anderson and Handley 2001
bradypus_variegatus,-77.3,8.1667,Anderson and Handley 2001
bradypus_variegatus,-75.6833,8.2833,Anderson and Handley 2001
bradypus_variegatus,-72.5833,8.5,Anderson and Handley 2001
bradypus_variegatus,-79.8,8.8667,Anderson and Handley 2001
bradypus_variegatus,-79.6,8.9,Anderson and Handley 2001
bradypus_variegatus,-81.8,8.9333,Anderson and Handley 2001
bradypus_variegatus,-83.4667,8.95,Anderson and Handley 2001
bradypus_variegatus,-79.5833,8.95,Anderson and Handley 2001
bradypus_variegatus,-74.7333,9.1167,Anderson and Handley 2001
bradypus_variegatus,-79.85,9.15,Anderson and Handley 2001
bradypus_variegatus,-72.6,9.15,Anderson and Handley 2001
bradypus_variegatus,-79.8167,9.1667,Anderson and Handley 2001
bradypus_variegatus,-82.25,9.1833,Anderson and Handley 2001
bradypus_variegatus,-79.9,9.2167,Anderson and Handley 2001
bradypus_variegatus,-79.35,9.2333,Anderson and Handley 2001
bradypus_variegatus,-79.85,9.25,de Moraes-Barros 2011
bradypus_variegatus,-79.9333,9.25,Anderson and Handley 2001
bradypus_variegatus,-79.9833,9.25,Anderson and Handley 2001
bradypus_variegatus,-82.2667,9.25,de Moraes-Barros 2011
bradypus_variegatus,-79.6,9.2833,Anderson and Handley 2001
bradypus_variegatus,-75.4,9.3,Anderson and Handley 2001
bradypus_variegatus,-82.4,9.3,Anderson and Handley 2001
bradypus_variegatus,-82.5167,9.45,Anderson and Handley 2001
bradypus_variegatus,-75.35,9.5,Anderson and Handley 2001
bradypus_variegatus,-82.7833,9.6,Anderson and Handley 2001
bradypus_variegatus,-83.6333,9.8833,Anderson and Handley 2001
bradypus_variegatus,-83.5667,9.9167,Anderson and Handley 2001
bradypus_variegatus,-75.0667,9.9667,Anderson and Handley 2001
bradypus_variegatus,-73.4333,10.15,Anderson and Handley 2001
bradypus_variegatus,-74,10.3,Anderson and Handley 2001
bradypus_variegatus,-84.5,10.3333,Anderson and Handley 2001
bradypus_variegatus,-65.8333,10.3667,de Moraes-Barros 2011
bradypus_variegatus,-67.6833,10.3667,Anderson and Handley 2001
bradypus_variegatus,-66.8333,10.3667,Anderson and Handley 2001
bradypus_variegatus,-68.3833,10.5333,Anderson and Handley 2001
bradypus_variegatus,-84.0167,10.6333,Anderson and Handley 2001
bradypus_variegatus,-83.7,10.9333,Anderson and Handley 2001
bradypus_variegatus,-84.4333,12.15,Anderson and Handley 2001
bradypus_variegatus,-83.7667,12.15,Anderson and Handley 2001
bradypus_variegatus,-71.3167,12.35,Anderson and Handley 2001
bradypus_variegatus,-85.9333,13.1833,Anderson and Handley 2001
bradypus_variegatus,-84.5333,13.95,Anderson and Handley 2001
bradypus_variegatus,-60.9667,2.3667,de Moraes-Barros 2007
bradypus_variegatus,-63.667,1.5667,de Moraes-Barros 2008
bradypus_variegatus,-78.1667,-4.45,de Moraes-Barros 2008
bradypus_variegatus,-55.5,-3.65,de Moraes-Barros 2008
bradypus_variegatus,-54.7,-2.41667,de Moraes-Barros 2008
bradypus_variegatus,-52.2,-3.18333,de Moraes-Barros 2008
bradypus_variegatus,-47.61667,-1.11667,de Moraes-Barros 2008
bradypus_variegatus,-47.91667,-1.28333,de Moraes-Barros 2008
bradypus_variegatus,-48.1667,-0.85,de Moraes-Barros 2008
bradypus_variegatus,-48.21667,-1.4667,de Moraes-Barros 2008
bradypus_variegatus,-74.17,-4.47,Silva 2018
bradypus_variegatus,-68.52,-10.65,Silva 2018
bradypus_variegatus,-68.72,-11,Silva 2018
bradypus_variegatus,-67.8,-9.97,Silva 2018
bradypus_variegatus,-40.3,-3.67,Silva 2018
bradypus_variegatus,-35.12,-6.83,Silva 2018
bradypus_variegatus,-34.86,-7.13,Silva 2018
bradypus_variegatus,-35.12,-7.83,Silva 2018
bradypus_variegatus,-34.9,-8.05,Silva 2018
bradypus_variegatus,-34.88,-7.95,Silva 2018
bradypus_variegatus,-34.9,-7.83,Silva 2018
bradypus_variegatus,-35.72,-9.67,Silva 2018
bradypus_variegatus,-35.93,-9.6,Silva 2018
bradypus_variegatus,-39.1,-16.4,Silva 2018
bradypus_variegatus,-38.98,-12.53,Silva 2018
bradypus_variegatus,-39.03,-14.82,Silva 2018
bradypus_variegatus,-39.03,-16.28,Silva 2018
bradypus_variegatus,-41.5,-17.85,Silva 2018
bradypus_variegatus,-46.6,-23.5,Silva 2018
bradypus_variegatus,-46.22,-23.48,Silva 2018
bradypus_variegatus,-46.5,-23.5,Silva 2018
bradypus_variegatus,-46.63,-23.52,Silva 2018
bradypus_variegatus,-46.75,-23.6,Silva 2018
bradypus_variegatus,-46.65,-23.42,Silva 2018
bradypus_variegatus,-47.45,-23.48,Silva 2018
bradypus_variegatus,-46.35,-23.95,Silva 2018
bradypus_variegatus,-46.32,-23.93,Silva 2018
bradypus_variegatus,-46.4,-24,Silva 2018
bradypus_variegatus,-45.35,-23.77,Silva 2018
bradypus_variegatus,-47.02,-24.37,Silva 2018
bradypus_variegatus,-46.53,-24.03,Silva 2018
bradypus_variegatus,-45.38,-23.33,Silva 2018
bradypus_variegatus,-46.62,-24.08,Silva 2018
bradypus_variegatus,-46.75,-23.27,Silva 2018
bradypus_variegatus,-46.83,-23.72,Silva 2018
bradypus_variegatus,-46.6,-23.6,Silva 2018
bradypus_variegatus,-46.7,-23.9,Silva 2018
bradypus_variegatus,-46.6,-23.3,Silva 2018
bradypus_variegatus,-46.55,-23.7,Silva 2018
bradypus_variegatus,-47.45,-24.28,Silva 2018
bradypus_variegatus,-46.7,-23.58,Silva 2018
bradypus_variegatus,-46.77,-23.45,Silva 2018
bradypus_variegatus,-46.63,-23.52,Silva 2018
bradypus_variegatus,-46.62,-23.53,Silva 2018
bradypus_variegatus,-46.75,-23.42,Silva 2018
bradypus_variegatus,-47.35,-23.63,Silva 2018
bradypus_variegatus,-46.33,-23.4,Silva 2018
bradypus_variegatus,-46.63,-23.8,Silva 2018